From	Entry	Entry Name	Reviewed	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
NEP82172.1	A0A845Z6M8	A0A845Z6M8_9CYAN	unreviewed	Uncharacterized protein	F6K39_30915	Okeania sp. SIO3B3	90		
NEP77284.1	A0A845YXW0	A0A845YXW0_9CYAN	unreviewed	NHLP leader peptide family natural product	F6K39_03320	Okeania sp. SIO3B3	312	catalytic activity [GO:0003824]; transition metal ion binding [GO:0046914]; nitrogen compound metabolic process [GO:0006807]	GO:0003824; GO:0006807; GO:0046914
VXD18280.1	A0A7Z9BRF4	A0A7Z9BRF4_9CYAN	unreviewed	Transposase	PL8927_600333	Planktothrix serta PCC 8927	43		
CCE17639.1	H1WDK7	H1WDK7_9CYAN	unreviewed	"Transposase, IS1 family"	ARTHRO_200007	Limnospira indica PCC 8005	86	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
AAK97425.1	Q93DR3	Q93DR3_TRIEI	unreviewed	"Resolvase, RNase H-like fold"	Tery_2021	Trichodesmium erythraeum (strain IMS101)	133	rRNA processing [GO:0006364]	GO:0006364
AAK97426.1	Q93DR2	Q93DR2_TRIEI	unreviewed	DUF3084 domain-containing protein	Tery_2022	Trichodesmium erythraeum (strain IMS101)	197	membrane [GO:0016020]	GO:0016020
AAK97427.1	Q93DR1	Q93DR1_TRIEI	unreviewed	Nitrogen regulatory protein	ntcA	Trichodesmium erythraeum (strain IMS101)	223	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]	GO:0003677; GO:0003700
NEN92863.1	A0A6P0I6Z0	A0A6P0I6Z0_9CYAN	unreviewed	Helicase	F6K48_29805	Okeania sp. SIO3H1	267	helicase activity [GO:0004386]	GO:0004386
NET40974.1	A0A846G410	A0A846G410_9CYAN	unreviewed	Transposase	F6K15_03110	Okeania sp. SIO2B3	50		
NES02983.1	A0A846C2F3	A0A846C2F3_9CYAN	unreviewed	ABC transporter permease	F6K22_09065	Okeania sp. SIO2F4	59	membrane [GO:0016020]	GO:0016020
NES71829.1	A0A6P0XY10	A0A6P0XY10_9CYAN	unreviewed	Transposase	F6K24_44815	Okeania sp. SIO2D1	130		
NER08487.1	A0A6P0U5T3	A0A6P0U5T3_9CYAN	unreviewed	Transposase	F6K17_41110	Okeania sp. SIO3C4	173		
NES80703.1	A0A846D5B5	A0A846D5B5_9CYAN	unreviewed	Helix-turn-helix domain-containing protein	F6K10_04475	Moorena sp. SIO2B7	90	DNA binding [GO:0003677]	GO:0003677
AAK97430.1	Q10V81	Q10V81_TRIEI	unreviewed	Putative transposase	Tery_0010 Tery_0031 Tery_0039 Tery_0053 Tery_0540 Tery_0616 Tery_0934 Tery_0993 Tery_1483 Tery_2030 Tery_2193 Tery_2540 Tery_3415 Tery_4847 Tery_4863 Tery_4924	Trichodesmium erythraeum (strain IMS101)	167		
NER07052.1	A0A6P0U3B3	A0A6P0U3B3_9CYAN	unreviewed	Holliday junction branch migration DNA helicase RuvB (EC 3.6.4.12)	ruvB F6K17_32945	Okeania sp. SIO3C4	348	ATP binding [GO:0005524]; DNA binding [GO:0003677]; four-way junction helicase activity [GO:0009378]; hydrolase activity [GO:0016787]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]	GO:0003677; GO:0005524; GO:0006281; GO:0006310; GO:0009378; GO:0016787
PCI98539.1	A0A2A4YVK7	A0A2A4YVK7_9FLAO	unreviewed	PABS domain-containing protein	COB15_05760	Flavobacteriales bacterium	508	membrane [GO:0016020]; transferase activity [GO:0016740]; polyamine biosynthetic process [GO:0006596]	GO:0006596; GO:0016020; GO:0016740
PDH48357.1	A0A2A5XIQ9	A0A2A5XIQ9_9BACT	unreviewed	Fe-S oxidoreductase	CND86_02675	Bacteroidetes bacterium MED-G21	441	membrane [GO:0016020]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]	GO:0016020; GO:0046872; GO:0051536
NES87064.1	A0A846DP75	A0A846DP75_9CYAN	unreviewed	IS630 family transposase	F6K10_40305	Moorena sp. SIO2B7	70	nucleic acid binding [GO:0003676]	GO:0003676
RKR00385.1	A0A495DEQ6	A0A495DEQ6_9PROT	unreviewed	Uncharacterized protein	C7435_1593	Maricaulis maris	243		
NEQ34984.1	A0A6P0R2Q2	A0A6P0R2Q2_9CYAN	unreviewed	PEP-CTERM sorting domain-containing protein	F6K40_01120	Okeania sp. SIO3I5	238		
NEQ41999.1	A0A6P0RLT9	A0A6P0RLT9_9CYAN	unreviewed	CUT domain-containing protein	F6K40_39815	Okeania sp. SIO3I5	85	DNA binding [GO:0003677]	GO:0003677
BAG01913.1	B0JXT6	B0JXT6_MICAN	unreviewed	Transposase	MAE_20910	Microcystis aeruginosa (strain NIES-843 / IAM M-2473)	129		
EAZ88109.1	A3IZI9	A3IZI9_9CHRO	unreviewed	Transposase (IS4)	CY0110_31590	Crocosphaera chwakensis CCY0110	243	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NEQ40631.1	A0A6P0RHL6	A0A6P0RHL6_9CYAN	unreviewed	Antitoxin	F6K40_32165	Okeania sp. SIO3I5	72		
NEQ40630.1	A0A6P0RMP4	A0A6P0RMP4_9CYAN	unreviewed	Type II toxin-antitoxin system VapC family toxin	F6K40_32160	Okeania sp. SIO3I5	124		
NES64351.1	A0A6P0XHU7	A0A6P0XHU7_9CYAN	unreviewed	Probable membrane transporter protein	F6K24_03290	Okeania sp. SIO2D1	245	plasma membrane [GO:0005886]	GO:0005886
AVH69196.1	A0A2L2NKM3	A0A2L2NKM3_9NOSO	unreviewed	Transposase	NLP_0276	Nostoc sp. 'Lobaria pulmonaria (5183) cyanobiont'	171	nucleic acid binding [GO:0003676]	GO:0003676
NEQ39602.1	A0A6P0RIA7	A0A6P0RIA7_9CYAN	unreviewed	Filamentous hemagglutinin N-terminal domain-containing protein	F6K40_26445	Okeania sp. SIO3I5	3555	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]	GO:0004252; GO:0006508
EAM50712.1	Q4C3K4	Q4C3K4_CROWT	unreviewed	DDE_5 domain-containing protein	CwatDRAFT_3623	Crocosphaera watsonii WH 8501	113		
OZH54697.1	A0A261KSZ0	A0A261KSZ0_9CYAN	unreviewed	Haemagg_act domain-containing protein	AFK68_09305	Hydrocoleum sp. CS-953	593		
EFB63306.1	D1YGT1	D1YGT1_LACGS	unreviewed	Uncharacterized protein	HMPREF9209_0169	Lactobacillus gasseri 224-1	128		
AFY89189.1	K9U4L5	K9U4L5_CHRTP	unreviewed	Putative transposase	Chro_3756	Chroococcidiopsis thermalis (strain PCC 7203)	83		
NET17071.1	A0A6P0YKU5	A0A6P0YKU5_9CYAN	unreviewed	CHRD domain-containing protein	F6K08_31795	Okeania sp. SIO1H6	454	calcium ion binding [GO:0005509]	GO:0005509
NES67598.1	A0A6P0XI95	A0A6P0XI95_9CYAN	unreviewed	Helix-turn-helix domain-containing protein	F6K24_21330	Okeania sp. SIO2D1	134		
NES66673.1	A0A6P0XI39	A0A6P0XI39_9CYAN	unreviewed	Group II intron reverse transcriptase/maturase (EC 2.7.7.49)	ltrA F6K24_16150	Okeania sp. SIO2D1	421	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
NES68158.1	A0A6P0XJV1	A0A6P0XJV1_9CYAN	unreviewed	Transposase	F6K24_24430	Okeania sp. SIO2D1	77		
RYF03986.1	A0A4V1TNB0	A0A4V1TNB0_9BURK	unreviewed	DDE_Tnp_1 domain-containing protein	EOO77_30270	Oxalobacteraceae bacterium	106	"DNA binding [GO:0003677]; transposase activity [GO:0004803]; transposition, DNA-mediated [GO:0006313]"	GO:0003677; GO:0004803; GO:0006313
NEQ42003.1	A0A6P0RMJ0	A0A6P0RMJ0_9CYAN	unreviewed	Transposase	F6K40_39835	Okeania sp. SIO3I5	271	membrane [GO:0016020]	GO:0016020
NES66892.1	A0A6P0XIK2	A0A6P0XIK2_9CYAN	unreviewed	DUF3854 domain-containing protein	F6K24_17340	Okeania sp. SIO2D1	425		
NEQ39327.1	A0A6P0RFY4	A0A6P0RFY4_9CYAN	unreviewed	Ovule protein	F6K40_24970	Okeania sp. SIO3I5	68		
NEP79175.1	A0A845YVJ3	A0A845YVJ3_9CYAN	unreviewed	HTH_33 domain-containing protein	F6K39_13980	Okeania sp. SIO3B3	53		
NEP77613.1	A0A845YWQ0	A0A845YWQ0_9CYAN	unreviewed	Transposase family protein	F6K39_05165	Okeania sp. SIO3B3	72	metal ion binding [GO:0046872]	GO:0046872
NEO79692.1	A0A845WNQ3	A0A845WNQ3_9CYAN	unreviewed	Transposase	F6J99_26995	Moorena sp. SIO4G3	136		
NET73354.1	A0A6P0ZLS5	A0A6P0ZLS5_9CYAN	unreviewed	IS630 family transposase	F6K62_21185	Sphaerospermopsis sp. SIO1G2	129	nucleic acid binding [GO:0003676]	GO:0003676
ACK73923.1	B7KMA1	B7KMA1_GLOC7	unreviewed	IS630 family transposase	PCC7424_5874	Gloeothece citriformis (strain PCC 7424) (Cyanothece sp. (strain PCC 7424))	292	nucleic acid binding [GO:0003676]	GO:0003676
NEO91069.1	A0A6P0LWZ5	A0A6P0LWZ5_9CYAN	unreviewed	CHAT domain-containing protein	F6K56_12800	Moorena sp. SIO3G5	634	cytoplasm [GO:0005737]; kinesin complex [GO:0005871]; microtubule [GO:0005874]	GO:0005737; GO:0005871; GO:0005874
NET30126.1	A0A6M0FS14	A0A6M0FS14_9CYAN	unreviewed	DUF3854 domain-containing protein	F6K01_33925	Okeania sp. SIO1I7	1074	ATP binding [GO:0005524]; DNA replication origin binding [GO:0003688]; DNA replication [GO:0006260]	GO:0003688; GO:0005524; GO:0006260
NES64439.1	A0A6P0XBN1	A0A6P0XBN1_9CYAN	unreviewed	ParM/StbA family protein	F6K24_03795	Okeania sp. SIO2D1	349		
NES64440.1	A0A6P0XBM4	A0A6P0XBM4_9CYAN	unreviewed	CopG family transcriptional regulator	F6K24_03800	Okeania sp. SIO2D1	79		
NEQ77944.1	A0A846APH0	A0A846APH0_9CYAN	unreviewed	Transposase	F6K23_36010	Okeania sp. SIO2C9	159		
NET14208.1	A0A6P0YCF4	A0A6P0YCF4_9CYAN	unreviewed	Na_H_Exchanger domain-containing protein	F6K08_15905	Okeania sp. SIO1H6	95	membrane [GO:0016020]	GO:0016020
NET30228.1	A0A6M0FTR5	A0A6M0FTR5_9CYAN	unreviewed	AAA family ATPase	F6K01_34460	Okeania sp. SIO1I7	487		
NEN88481.1	A0A6P0HYY3	A0A6P0HYY3_9CYAN	unreviewed	DUF3854 domain-containing protein	F6K48_05895	Okeania sp. SIO3H1	1343		
ACB49398.1	B1WP35	B1WP35_CROS5	unreviewed	Transposase	cce_0046 cce_3866 cce_4230	Crocosphaera subtropica (strain ATCC 51142 / BH68) (Cyanothece sp. (strain ATCC 51142))	121		
NET44625.1	A0A846GBX9	A0A846GBX9_9CYAN	unreviewed	DUF6444 domain-containing protein	F6K15_23305	Okeania sp. SIO2B3	236		
NET76708.1	A0A6B3P902	A0A6B3P902_9CYAN	unreviewed	"Class IIb bacteriocin, lactobin A/cerein 7B family"	F6K60_11960	Okeania sp. SIO1F9	60	membrane [GO:0016020]	GO:0016020
NEQ68308.1	A0A6P0RZM7	A0A6P0RZM7_9CYAN	unreviewed	Class I SAM-dependent methyltransferase	F6K21_22965	Symploca sp. SIO2D2	243	methyltransferase activity [GO:0008168]; methylation [GO:0032259]	GO:0008168; GO:0032259
NER07566.1	A0A6P0UBU0	A0A6P0UBU0_9CYAN	unreviewed	RNA-directed DNA polymerase	F6K17_35885	Okeania sp. SIO3C4	174	RNA-directed DNA polymerase activity [GO:0003964]	GO:0003964
NEQ17163.1	A0A845ZPE2	A0A845ZPE2_9CYAN	unreviewed	IS630 family transposase	F6K44_26815	Moorena sp. SIO3E2	31		
NEP79406.1	A0A845YUD8	A0A845YUD8_9CYAN	unreviewed	Rpn family recombination-promoting nuclease/putative transposase	F6K39_15280	Okeania sp. SIO3B3	320		
NER06320.1	A0A6P0U140	A0A6P0U140_9CYAN	unreviewed	Rpn family recombination-promoting nuclease/putative transposase	F6K17_28935	Okeania sp. SIO3C4	324		
NEQ74808.1	A0A846AJ11	A0A846AJ11_9CYAN	unreviewed	Transposase	F6K23_18220	Okeania sp. SIO2C9	76		
NES71510.1	A0A6P0XX11	A0A6P0XX11_9CYAN	unreviewed	IS701 family transposase	F6K24_43085	Okeania sp. SIO2D1	423		
OZH52812.1	A0A261KPZ7	A0A261KPZ7_9CYAN	unreviewed	UDP-glucuronate decarboxylase (EC 4.1.1.35)	AFK68_21930	Hydrocoleum sp. CS-953	1073	endonuclease activity [GO:0004519]; NAD+ binding [GO:0070403]; UDP-glucuronate decarboxylase activity [GO:0048040]; D-xylose metabolic process [GO:0042732]; intein-mediated protein splicing [GO:0016539]; UDP-D-xylose biosynthetic process [GO:0033320]	GO:0004519; GO:0016539; GO:0033320; GO:0042732; GO:0048040; GO:0070403
NEQ40187.1	A0A6P0RIR0	A0A6P0RIR0_9CYAN	unreviewed	ATP-binding protein	F6K40_29670	Okeania sp. SIO3I5	415	ATP binding [GO:0005524]	GO:0005524
NEP77915.1	A0A845YRS1	A0A845YRS1_9CYAN	unreviewed	Tetratricopeptide repeat protein	F6K39_06855	Okeania sp. SIO3B3	814		
AKG21397.1	A0A0T7BQN7	A0A0T7BQN7_9CYAN	unreviewed	Transposase	IJ00_08900	Calothrix sp. 336/3	67		
NEN88421.1	A0A6P0HYS2	A0A6P0HYS2_9CYAN	unreviewed	Filamentous hemagglutinin N-terminal domain-containing protein	F6K48_05590	Okeania sp. SIO3H1	3086		
EHJ09249.1	G5JEY7	G5JEY7_CROWT	unreviewed	"Transposase, IS5 family"	CWATWH0003_B324	Crocosphaera watsonii WH 0003	138	metal ion binding [GO:0046872]	GO:0046872
NEO53652.1	A0A6L9ZSU2	A0A6L9ZSU2_9CYAN	unreviewed	Formylglycine-generating enzyme family protein	F6K54_11520	Okeania sp. SIO3B5	416		
CCI00953.1	I4FZ42	I4FZ42_MICAE	unreviewed	Similarity	MICAC_1420002	Microcystis aeruginosa PCC 9443	45		
NEP88677.1	A0A6P0NT88	A0A6P0NT88_9CYAN	unreviewed	Tetratricopeptide repeat protein	F6K18_18565	Okeania sp. SIO2C2	120		
NEP89980.1	A0A6P0NXU1	A0A6P0NXU1_9CYAN	unreviewed	DDE_3 domain-containing protein	F6K18_25910	Okeania sp. SIO2C2	102	nucleic acid binding [GO:0003676]	GO:0003676
NEQ36367.1	A0A6P0R7I6	A0A6P0R7I6_9CYAN	unreviewed	Uma2 family endonuclease	F6K40_08795	Okeania sp. SIO3I5	188	endonuclease activity [GO:0004519]	GO:0004519
NEP80536.1	A0A845YXU7	A0A845YXU7_9CYAN	unreviewed	Uma2 family endonuclease	F6K39_21615	Okeania sp. SIO3B3	138	endonuclease activity [GO:0004519]	GO:0004519
NEO57402.1	A0A6M0A2Q4	A0A6M0A2Q4_9CYAN	unreviewed	NHLP leader peptide family natural product	F6K54_32600	Okeania sp. SIO3B5	308	catalytic activity [GO:0003824]; transition metal ion binding [GO:0046914]; nitrogen compound metabolic process [GO:0006807]	GO:0003824; GO:0006807; GO:0046914
NEO57404.1	A0A6M0A5F8	A0A6M0A5F8_9CYAN	unreviewed	JmjC domain-containing protein	F6K54_32610	Okeania sp. SIO3B5	307		
NEP77282.1	A0A845YS62	A0A845YS62_9CYAN	unreviewed	Tryptophan 7-halogenase	F6K39_03310	Okeania sp. SIO3B3	531	monooxygenase activity [GO:0004497]; nucleotide binding [GO:0000166]	GO:0000166; GO:0004497
NEP77281.1	A0A845YLV2	A0A845YLV2_9CYAN	unreviewed	Tetratricopeptide repeat protein	F6K39_03305	Okeania sp. SIO3B3	476		
NEO57399.1	A0A6L9ZYD0	A0A6L9ZYD0_9CYAN	unreviewed	MBL fold metallo-hydrolase	F6K54_32585	Okeania sp. SIO3B5	487	hydrolase activity [GO:0016787]	GO:0016787
NEP45528.1	A0A6M0CHZ6	A0A6M0CHZ6_9CYAN	unreviewed	Tetratricopeptide repeat protein	F6K35_42465	Okeania sp. SIO2H7	64		
NES66582.1	A0A6P0XHN1	A0A6P0XHN1_9CYAN	unreviewed	Aromatic acid decarboxylase	F6K24_15640	Okeania sp. SIO2D1	74	catalytic activity [GO:0003824]	GO:0003824
NER08290.1	A0A6P0U6S7	A0A6P0U6S7_9CYAN	unreviewed	Reverse transcriptase domain-containing protein	F6K17_39970	Okeania sp. SIO3C4	186		
NEQ75993.1	A0A846ALX2	A0A846ALX2_9CYAN	unreviewed	Transposase	F6K23_24935	Okeania sp. SIO2C9	65		
OBQ41588.1	A0A1B7WWT7	A0A1B7WWT7_9NOST	unreviewed	Transposase	AN485_01910	Anabaena sp. MDT14b	118		
SDL67054.1	A0A1G9LYT0	A0A1G9LYT0_9PROT	unreviewed	Tetratricopeptide repeat-containing protein	SAMN04488568_101261	Maricaulis salignorans	534	protein-tyrosine sulfotransferase activity [GO:0008476]; peptidyl-tyrosine sulfation [GO:0006478]	GO:0006478; GO:0008476
NVK65890.1	A0A7Y7AEU3	A0A7Y7AEU3_9FLAO	unreviewed	Phosphoglycerate kinase (EC 2.7.2.3)	pgk HWE22_14950	Flavobacteriales bacterium	396	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; phosphoglycerate kinase activity [GO:0004618]; glycolytic process [GO:0006096]	GO:0004618; GO:0005524; GO:0005737; GO:0006096
PCI96562.1	A0A2A4YNY3	A0A2A4YNY3_9FLAO	unreviewed	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA COB15_09935	Flavobacteriales bacterium	291	cytoplasm [GO:0005737]; 4-hydroxy-tetrahydrodipicolinate synthase activity [GO:0008840]; diaminopimelate biosynthetic process [GO:0019877]; lysine biosynthetic process via diaminopimelate [GO:0009089]	GO:0005737; GO:0008840; GO:0009089; GO:0019877
PJB16523.1	A0A2M8AFZ8	A0A2M8AFZ8_9FLAO	unreviewed	DUF3568 family protein	CO118_00340	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	144		
CBN57646.1	D8G4V6	D8G4V6_9CYAN	unreviewed	Uncharacterized protein	OSCI_3490026	Kamptonema sp. PCC 6506	67		
NES66340.1	A0A6P0XH84	A0A6P0XH84_9CYAN	unreviewed	Uridylate kinase	F6K24_14300	Okeania sp. SIO2D1	276	kinase activity [GO:0016301]; phosphorylation [GO:0016310]	GO:0016301; GO:0016310
AAF82647.1	Q9KJL0	Q9KJL0_TRIEI	unreviewed	PEP-CTERM sorting domain-containing protein	Tery_4146	Trichodesmium erythraeum (strain IMS101)	226		
AAF82646.1	Q9KJL1	Q9KJL1_TRIEI	unreviewed	FdxH (Ferredoxin (2Fe-2S))	fdxH Tery_4145	Trichodesmium erythraeum (strain IMS101)	104	"2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; metal ion binding [GO:0046872]"	GO:0009055; GO:0046872; GO:0051537
AAF82645.1	Q9KJL2	Q9KJL2_TRIEI	unreviewed	HesB (Iron-sulfur cluster assembly accessory protein)	hesB Tery_4144	Trichodesmium erythraeum (strain IMS101)	116	"2 iron, 2 sulfur cluster binding [GO:0051537]; iron-sulfur cluster assembly [GO:0016226]"	GO:0016226; GO:0051537
AAF82644.1	Q9KJL3	Q9KJL3_TRIEI	unreviewed	HesA (UBA/THIF-type NAD/FAD binding fold)	hesA Tery_4143	Trichodesmium erythraeum (strain IMS101)	273	ubiquitin-like modifier activating enzyme activity [GO:0008641]	GO:0008641
AAF82642.1	Q9KJL5	Q9KJL5_TRIEI	unreviewed	ORF2	Tery_4141	Trichodesmium erythraeum (strain IMS101)	156		
AAF82641.1	Q9KJL6	Q9KJL6_TRIEI	unreviewed	NifX (Nitrogen fixation protein NifX)	nifX Tery_4140	Trichodesmium erythraeum (strain IMS101)	139	metal cluster binding [GO:0051540]; nitrogen fixation [GO:0009399]	GO:0009399; GO:0051540
AAF82640.1	Q9KJL7	Q9KJL7_TRIEI	unreviewed	Nitrogenase iron-molybdenum cofactor biosynthesis protein NifE (Nitrogenase iron-molybdenum cofactor biosynthesis protein NifN)	nifEN Tery_4139	Trichodesmium erythraeum (strain IMS101)	936	nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]; protein-containing complex assembly [GO:0065003]	GO:0009399; GO:0016163; GO:0065003
AAD03798.1	O84930	O84930_TRIEI	unreviewed	Nitrogenase molybdenum-iron protein beta chain (EC 1.18.6.1) (Dinitrogenase)	nifK Tery_4138	Trichodesmium erythraeum (strain IMS101)	512	molybdenum-iron nitrogenase complex [GO:0016612]; ATP binding [GO:0005524]; carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]	GO:0005524; GO:0009399; GO:0016163; GO:0016612; GO:0018697; GO:0046872; GO:0051536
AAD03797.1	O84929	O84929_TRIEI	unreviewed	Nitrogenase protein alpha chain (EC 1.18.6.1)	nifD Tery_4137	Trichodesmium erythraeum (strain IMS101)	485	molybdenum-iron nitrogenase complex [GO:0016612]; carbonyl sulfide nitrogenase activity [GO:0018697]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]; nitrogenase activity [GO:0016163]; nitrogen fixation [GO:0009399]	GO:0009399; GO:0016163; GO:0016612; GO:0018697; GO:0046872; GO:0051536
NES02987.1	A0A846CFP8	A0A846CFP8_9CYAN	unreviewed	Tandem-95 repeat protein	F6K22_09085	Okeania sp. SIO2F4	1852	extracellular region [GO:0005576]; membrane [GO:0016020]; calcium ion binding [GO:0005509]; toxin activity [GO:0090729]	GO:0005509; GO:0005576; GO:0016020; GO:0090729
PCJ26367.1	A0A2A5B481	A0A2A5B481_9FLAO	unreviewed	Carboxypeptidase regulatory-like domain-containing protein	COA97_06185	Flavobacteriales bacterium	157		
PJB15925.1	A0A2M8AEH4	A0A2M8AEH4_9FLAO	unreviewed	Lipoprotein	CO118_01670	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	184		
NEP90094.1	A0A6P0NW10	A0A6P0NW10_9CYAN	unreviewed	Transposase	F6K18_26530	Okeania sp. SIO2C2	111	nucleic acid binding [GO:0003676]	GO:0003676
PJA06886.1	A0A2M7VT39	A0A2M7VT39_9FLAO	unreviewed	Bacillithiol biosynthesis deacetylase BshB1	bshB1 COX70_08590	Flavobacteriales bacterium CG_4_10_14_0_2_um_filter_32_8	238	deacetylase activity [GO:0019213]; bacillithiol biosynthetic process [GO:0071793]	GO:0019213; GO:0071793
PCI93994.1	A0A2A4YH02	A0A2A4YH02_9FLAO	unreviewed	Polysacc_synt_C domain-containing protein	COB15_15245	Flavobacteriales bacterium	422	plasma membrane [GO:0005886]	GO:0005886
PCI99228.1	A0A2A4YWH4	A0A2A4YWH4_9FLAO	unreviewed	YkuD domain-containing protein	COB15_04715	Flavobacteriales bacterium	228	transferase activity [GO:0016740]; peptidoglycan biosynthetic process [GO:0009252]	GO:0009252; GO:0016740
ABI64384.1	Q0ATK3	Q0ATK3_MARMM	unreviewed	Dihydrofolate synthase/folylpolyglutamate synthase (EC 6.3.2.12) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase)	Mmar10_0088	Maricaulis maris (strain MCS10)	397	ATP binding [GO:0005524]; dihydrofolate synthase activity [GO:0008841]; metal ion binding [GO:0046872]; tetrahydrofolylpolyglutamate synthase activity [GO:0004326]; cell cycle [GO:0007049]; cell division [GO:0051301]; cell wall organization [GO:0071555]; folic acid biosynthetic process [GO:0046656]; peptidoglycan biosynthetic process [GO:0009252]; regulation of cell shape [GO:0008360]; tetrahydrofolate biosynthetic process [GO:0046654]	GO:0004326; GO:0005524; GO:0007049; GO:0008360; GO:0008841; GO:0009252; GO:0046654; GO:0046656; GO:0046872; GO:0051301; GO:0071555
NOR47681.1	A0A849QLX6	A0A849QLX6_9EURY	unreviewed	Restriction endonuclease subunit S	GQ533_06500	Methanosarcinaceae archaeon	463	DNA binding [GO:0003677]; endonuclease activity [GO:0004519]; DNA restriction-modification system [GO:0009307]	GO:0003677; GO:0004519; GO:0009307
PCJ25010.1	A0A2A5B0X1	A0A2A5B0X1_9FLAO	unreviewed	T9SS type B sorting domain-containing protein	COA97_08505	Flavobacteriales bacterium	550		
PCJ25988.1	A0A2A5B4I3	A0A2A5B4I3_9FLAO	unreviewed	Glycos_transf_1 domain-containing protein	COA97_06675	Flavobacteriales bacterium	331	glycosyltransferase activity [GO:0016757]	GO:0016757
NEO57104.1	A0A6M0A4K2	A0A6M0A4K2_9CYAN	unreviewed	HlyD family efflux transporter periplasmic adaptor subunit	F6K54_30955	Okeania sp. SIO3B5	533	membrane [GO:0016020]	GO:0016020
NEO57103.1	A0A6M0A059	A0A6M0A059_9CYAN	unreviewed	Peptidase domain-containing ABC transporter	F6K54_30950	Okeania sp. SIO3B5	718	membrane [GO:0016020]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; peptidase activity [GO:0008233]; proteolysis [GO:0006508]	GO:0005524; GO:0006508; GO:0008233; GO:0016020; GO:0140359
NEP77279.1	A0A845YNG7	A0A845YNG7_9CYAN	unreviewed	Bacteriocin	F6K39_03295	Okeania sp. SIO3B3	63		
NEP77280.1	A0A845YPR8	A0A845YPR8_9CYAN	unreviewed	MBL fold metallo-hydrolase	F6K39_03300	Okeania sp. SIO3B3	487	hydrolase activity [GO:0016787]	GO:0016787
PCJ25849.1	A0A2A5B2U3	A0A2A5B2U3_9FLAO	unreviewed	Aspartokinase (EC 2.7.2.4)	COA97_07150	Flavobacteriales bacterium	439	aspartate kinase activity [GO:0004072]; ATP binding [GO:0005524]; lysine biosynthetic process via diaminopimelate [GO:0009089]; phosphorylation [GO:0016310]; threonine biosynthetic process [GO:0009088]	GO:0004072; GO:0005524; GO:0009088; GO:0009089; GO:0016310
PCJ26978.1	A0A2A5B796	A0A2A5B796_9FLAO	unreviewed	Peptidase_M14 domain-containing protein	COA97_04585	Flavobacteriales bacterium	577	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]; proteolysis [GO:0006508]	GO:0004181; GO:0006508; GO:0008270
PJB16012.1	A0A2M8AEM3	A0A2M8AEM3_9FLAO	unreviewed	TerC family protein	CO118_01360	Flavobacteriales bacterium CG_4_9_14_3_um_filter_32_8	240	membrane [GO:0016020]	GO:0016020
PCJ27167.1	A0A2A5B6H1	A0A2A5B6H1_9FLAO	unreviewed	2-oxoacid:ferredoxin oxidoreductase subunit beta	COA97_04135	Flavobacteriales bacterium	340	catalytic activity [GO:0003824]; thiamine pyrophosphate binding [GO:0030976]	GO:0003824; GO:0030976
KAB2859641.1	A0A7J5EF31	A0A7J5EF31_9FLAO	unreviewed	Tetratricopeptide repeat protein	F9K09_01210	Flavobacteriales bacterium	805	membrane [GO:0016020]	GO:0016020
HIE74250.1	A0A800EAR1	A0A800EAR1_9FLAO	unreviewed	Stage II sporulation protein E	EYQ06_08330	Flavobacteriales bacterium	112		
MAC37958.1	A0A2E5UWA3	A0A2E5UWA3_9PROT	unreviewed	Phosphate acetyltransferase	CMH93_00260 CMH94_04195	Oceanicaulis sp	124	transferase activity [GO:0016740]	GO:0016740
MAE87722.1	A0A2D6B206	A0A2D6B206_9BACT	unreviewed	Heteromeric transposase endonuclease subunit TnsA	CMB80_33620	Flammeovirgaceae bacterium	282	nucleic acid binding [GO:0003676]	GO:0003676
